,기간,자치구,사업체수,사업체 창업률
0,2011.0,종로구,38635.0,11.59
1,2012.0,종로구,39486.0,10.5
2,2013.0,종로구,39326.0,11.29
3,2014.0,종로구,40923.0,11.41
4,2015.0,종로구,40871.0,11.65
5,2016.0,종로구,40664.0,10.94
6,2017.0,종로구,40490.0,8.93
7,2011.0,동대문구,30130.0,11.97
8,2012.0,동대문구,31881.0,10.0
9,2013.0,동대문구,31972.0,12.49
10,2014.0,동대문구,32878.0,13.22
11,2015.0,동대문구,32994.0,12.34
12,2016.0,동대문구,32762.0,10.61
13,2017.0,동대문구,32411.0,8.87
14,2011.0,강동구,28733.0,15.15
15,2012.0,강동구,29694.0,13.8
16,2013.0,강동구,29756.0,13.57
17,2014.0,강동구,30481.0,13.47
18,2015.0,강동구,30079.0,13.95
19,2016.0,강동구,30268.0,12.43
20,2017.0,강동구,29952.0,11.14
21,2011.0,중구,59567.0,10.78
22,2012.0,중구,64307.0,9.1
23,2013.0,중구,64846.0,10.62
24,2014.0,중구,65364.0,11.78
25,2015.0,중구,66190.0,11.94
26,2016.0,중구,63640.0,10.62
27,2017.0,중구,62936.0,9.06
28,2011.0,노원구,25636.0,11.95
29,2012.0,노원구,24864.0,13.7
30,2013.0,노원구,25173.0,11.5
31,2014.0,노원구,26081.0,13.33
32,2015.0,노원구,25827.0,11.93
33,2016.0,노원구,26271.0,10.58
34,2017.0,노원구,26516.0,9.83
35,2011.0,동작구,19895.0,13.21
36,2012.0,동작구,20022.0,12.5
37,2013.0,동작구,20035.0,12.49
38,2014.0,동작구,20160.0,11.97
39,2015.0,동작구,19609.0,13.18
40,2016.0,동작구,19747.0,12.42
41,2017.0,동작구,19966.0,11.21
42,2011.0,도봉구,17659.0,12.14
43,2012.0,도봉구,17893.0,13.8
44,2013.0,도봉구,17713.0,14.23
45,2014.0,도봉구,18584.0,14.8
46,2015.0,도봉구,18455.0,13.7
47,2016.0,도봉구,18686.0,12.47
48,2017.0,도봉구,18351.0,10.38
49,2011.0,양천구,25275.0,13.72
50,2012.0,양천구,25750.0,13.0
51,2013.0,양천구,25720.0,12.65
52,2014.0,양천구,26189.0,12.82
53,2015.0,양천구,26297.0,13.01
54,2016.0,양천구,26108.0,11.07
55,2017.0,양천구,26077.0,10.35
56,2011.0,서대문구,18116.0,12.06
57,2012.0,서대문구,18653.0,12.8
58,2013.0,서대문구,19211.0,14.38
59,2014.0,서대문구,19454.0,12.15
60,2015.0,서대문구,19612.0,14.62
61,2016.0,서대문구,19540.0,11.98
62,2017.0,서대문구,19852.0,11.22
63,2011.0,서초구,38535.0,14.92
64,2012.0,서초구,42602.0,14.0
65,2013.0,서초구,42882.0,14.31
66,2014.0,서초구,45932.0,13.27
67,2015.0,서초구,47061.0,14.34
68,2016.0,서초구,46404.0,12.79
69,2017.0,서초구,46207.0,11.94
70,2011.0,강서구,31069.0,15.25
71,2012.0,강서구,31596.0,13.1
72,2013.0,강서구,32021.0,14.46
73,2014.0,강서구,32789.0,13.0
74,2015.0,강서구,33273.0,13.53
75,2016.0,강서구,34662.0,12.38
76,2017.0,강서구,36556.0,14.07
77,2011.0,관악구,25956.0,15.77
78,2012.0,관악구,26294.0,14.7
79,2013.0,관악구,26309.0,13.23
80,2014.0,관악구,26396.0,14.21
81,2015.0,관악구,26235.0,14.31
82,2016.0,관악구,26377.0,11.76
83,2017.0,관악구,26374.0,11.7
84,2011.0,중랑구,26992.0,13.99
85,2012.0,중랑구,27289.0,13.5
86,2013.0,중랑구,27490.0,13.06
87,2014.0,중랑구,28047.0,13.07
88,2015.0,중랑구,27287.0,13.17
89,2016.0,중랑구,27915.0,11.98
90,2017.0,중랑구,28045.0,11.05
91,2011.0,용산구,19392.0,13.28
92,2012.0,용산구,20004.0,12.6
93,2013.0,용산구,20067.0,13.39
94,2014.0,용산구,20482.0,12.64
95,2015.0,용산구,21178.0,15.03
96,2016.0,용산구,20994.0,12.13
97,2017.0,용산구,20806.0,11.11
98,2011.0,성북구,24674.0,15.15
99,2012.0,성북구,25061.0,13.6
100,2013.0,성북구,25074.0,13.19
101,2014.0,성북구,25104.0,13.61
102,2015.0,성북구,24690.0,12.83
103,2016.0,성북구,24560.0,12.54
104,2017.0,성북구,24039.0,10.5
105,2011.0,영등포구,40594.0,12.41
106,2012.0,영등포구,42157.0,11.9
107,2013.0,영등포구,42151.0,13.52
108,2014.0,영등포구,44099.0,10.96
109,2015.0,영등포구,44512.0,13.28
110,2016.0,영등포구,43678.0,11.02
111,2017.0,영등포구,43163.0,9.89
112,2011.0,광진구,24607.0,16.02
113,2012.0,광진구,24828.0,14.5
114,2013.0,광진구,24676.0,13.89
115,2014.0,광진구,24760.0,13.75
116,2015.0,광진구,24531.0,14.17
117,2016.0,광진구,24895.0,12.99
118,2017.0,광진구,24688.0,11.87
119,2011.0,마포구,30420.0,16.82
120,2012.0,마포구,32053.0,15.3
121,2013.0,마포구,32793.0,16.68
122,2014.0,마포구,35070.0,15.81
123,2015.0,마포구,36504.0,17.71
124,2016.0,마포구,36191.0,15.51
125,2017.0,마포구,36325.0,14.72
126,2011.0,송파구,42778.0,15.15
127,2012.0,송파구,43771.0,13.7
128,2013.0,송파구,43503.0,13.11
129,2014.0,송파구,44301.0,12.9
130,2015.0,송파구,45375.0,14.08
131,2016.0,송파구,45555.0,13.73
132,2017.0,송파구,46676.0,13.21
133,2011.0,금천구,26092.0,14.08
134,2012.0,금천구,27651.0,12.6
135,2013.0,금천구,28406.0,13.57
136,2014.0,금천구,29557.0,13.28
137,2015.0,금천구,30080.0,13.01
138,2016.0,금천구,30987.0,12.22
139,2017.0,금천구,31750.0,10.8
140,2011.0,은평구,23055.0,15.54
141,2012.0,은평구,23325.0,14.4
142,2013.0,은평구,23953.0,12.3
143,2014.0,은평구,24269.0,13.36
144,2015.0,은평구,24179.0,12.99
145,2016.0,은평구,24615.0,12.0
146,2017.0,은평구,24561.0,10.76
147,2011.0,성동구,23300.0,11.35
148,2012.0,성동구,24250.0,11.9
149,2013.0,성동구,24803.0,11.45
150,2014.0,성동구,25714.0,12.11
151,2015.0,성동구,26130.0,13.25
152,2016.0,성동구,26581.0,11.55
153,2017.0,성동구,27278.0,11.62
154,2011.0,강북구,19404.0,16.07
155,2012.0,강북구,19485.0,14.2
156,2013.0,강북구,19248.0,13.91
157,2014.0,강북구,19223.0,14.77
158,2015.0,강북구,18654.0,14.82
159,2016.0,강북구,18742.0,12.9
160,2017.0,강북구,18928.0,12.43
161,2011.0,강남구,57987.0,16.32
162,2012.0,강남구,62448.0,15.9
163,2013.0,강남구,62614.0,16.5
164,2014.0,강남구,70262.0,15.73
165,2015.0,강남구,73590.0,17.31
166,2016.0,강남구,72281.0,16.1
167,2017.0,강남구,72511.0,14.94
168,2011.0,구로구,33784.0,13.28
169,2012.0,구로구,35523.0,11.6
170,2013.0,구로구,35352.0,11.82
171,2014.0,구로구,36679.0,12.03
172,2015.0,구로구,37445.0,13.63
173,2016.0,구로구,38033.0,11.19
174,2017.0,구로구,38405.0,10.3
