,기간,자치구,지역내총생산(당해년가격),구성비
0,2010.0,종로구,23758373.0,8.2
1,2011.0,종로구,24988465.0,8.2
2,2012.0,종로구,25061092.0,8.0
3,2013.0,종로구,25106001.0,7.9
4,2014.0,종로구,26759739.0,8.1
5,2015.0,종로구,27929070.0,8.1
6,2016.0,종로구,28036775.0,7.8
7,2010.0,중구,44161229.0,15.2
8,2011.0,중구,45664447.0,15.0
9,2012.0,중구,46050828.0,14.7
10,2013.0,중구,44090380.0,13.8
11,2014.0,중구,44641112.0,13.6
12,2015.0,중구,47887993.0,13.9
13,2016.0,중구,48654807.0,13.5
14,2010.0,은평구,3265441.0,1.1
15,2011.0,은평구,3089450.0,1.0
16,2012.0,은평구,3078103.0,1.0
17,2013.0,은평구,3276105.0,1.0
18,2014.0,은평구,3310205.0,1.0
19,2015.0,은평구,3491843.0,1.0
20,2016.0,은평구,3929828.0,1.1
21,2010.0,강서구,7056025.0,2.4
22,2011.0,강서구,7559520.0,2.5
23,2012.0,강서구,7883811.0,2.5
24,2013.0,강서구,8403995.0,2.6
25,2014.0,강서구,8623287.0,2.6
26,2015.0,강서구,9627187.0,2.8
27,2016.0,강서구,10739720.0,3.0
28,2010.0,영등포구,23176053.0,8.0
29,2011.0,영등포구,24603427.0,8.1
30,2012.0,영등포구,25011534.0,8.0
31,2013.0,영등포구,24721497.0,7.8
32,2014.0,영등포구,25215413.0,7.7
33,2015.0,영등포구,26770448.0,7.8
34,2016.0,영등포구,27701698.0,7.7
35,2010.0,강동구,5815581.0,2.0
36,2011.0,강동구,6157760.0,2.0
37,2012.0,강동구,6285371.0,2.0
38,2013.0,강동구,6473202.0,2.0
39,2014.0,강동구,6936206.0,2.1
40,2015.0,강동구,6986297.0,2.0
41,2016.0,강동구,7424711.0,2.1
42,2010.0,양천구,5286021.0,1.8
43,2011.0,양천구,5507104.0,1.8
44,2012.0,양천구,5477524.0,1.7
45,2013.0,양천구,5470079.0,1.7
46,2014.0,양천구,5618758.0,1.7
47,2015.0,양천구,5697533.0,1.7
48,2016.0,양천구,6022303.0,1.7
49,2010.0,광진구,5129153.0,1.8
50,2011.0,광진구,5245378.0,1.7
51,2012.0,광진구,5443737.0,1.7
52,2013.0,광진구,5607606.0,1.8
53,2014.0,광진구,5522747.0,1.7
54,2015.0,광진구,5592832.0,1.6
55,2016.0,광진구,5970256.0,1.7
56,2010.0,노원구,4131202.0,1.4
57,2011.0,노원구,4472198.0,1.5
58,2012.0,노원구,4492191.0,1.4
59,2013.0,노원구,4653619.0,1.5
60,2014.0,노원구,4849302.0,1.5
61,2015.0,노원구,5012188.0,1.5
62,2016.0,노원구,5292768.0,1.5
63,2010.0,중랑구,3271449.0,1.1
64,2011.0,중랑구,3364929.0,1.1
65,2012.0,중랑구,3592733.0,1.1
66,2013.0,중랑구,3757744.0,1.2
67,2014.0,중랑구,3794177.0,1.2
68,2015.0,중랑구,3755466.0,1.1
69,2016.0,중랑구,4013154.0,1.1
70,2010.0,마포구,12161145.0,4.2
71,2011.0,마포구,13086692.0,4.3
72,2012.0,마포구,13860732.0,4.4
73,2013.0,마포구,14536859.0,4.6
74,2014.0,마포구,15027658.0,4.6
75,2015.0,마포구,15763646.0,4.6
76,2016.0,마포구,16355733.0,4.6
77,2010.0,성동구,7538623.0,2.6
78,2011.0,성동구,8000721.0,2.6
79,2012.0,성동구,8447774.0,2.7
80,2013.0,성동구,9008732.0,2.8
81,2014.0,성동구,9409301.0,2.9
82,2015.0,성동구,9673958.0,2.8
83,2016.0,성동구,10503045.0,2.9
84,2010.0,금천구,11304286.0,3.9
85,2011.0,금천구,12106635.0,4.0
86,2012.0,금천구,12827876.0,4.1
87,2013.0,금천구,13484216.0,4.2
88,2014.0,금천구,13182249.0,4.0
89,2015.0,금천구,13735602.0,4.0
90,2016.0,금천구,15004950.0,4.2
91,2010.0,용산구,8403500.0,2.9
92,2011.0,용산구,8896375.0,2.9
93,2012.0,용산구,8905758.0,2.8
94,2013.0,용산구,9454752.0,3.0
95,2014.0,용산구,9569380.0,2.9
96,2015.0,용산구,9871373.0,2.9
97,2016.0,용산구,10308398.0,2.9
98,2010.0,도봉구,2274719.0,0.8
99,2011.0,도봉구,2360549.0,0.8
100,2012.0,도봉구,2433429.0,0.8
101,2013.0,도봉구,2508058.0,0.8
102,2014.0,도봉구,2571708.0,0.8
103,2015.0,도봉구,2636029.0,0.8
104,2016.0,도봉구,2816851.0,0.8
105,2010.0,강북구,2515479.0,0.9
106,2011.0,강북구,2610296.0,0.9
107,2012.0,강북구,2606319.0,0.8
108,2013.0,강북구,2642893.0,0.8
109,2014.0,강북구,2635236.0,0.8
110,2015.0,강북구,2618309.0,0.8
111,2016.0,강북구,2830150.0,0.8
112,2010.0,서초구,23225949.0,8.0
113,2011.0,서초구,24534807.0,8.1
114,2012.0,서초구,26148756.0,8.3
115,2013.0,서초구,26305693.0,8.3
116,2014.0,서초구,27286099.0,8.3
117,2015.0,서초구,28442584.0,8.3
118,2016.0,서초구,29493607.0,8.2
119,2010.0,동작구,4718267.0,1.6
120,2011.0,동작구,4855443.0,1.6
121,2012.0,동작구,4962630.0,1.6
122,2013.0,동작구,5105745.0,1.6
123,2014.0,동작구,5122308.0,1.6
124,2015.0,동작구,4892610.0,1.4
125,2016.0,동작구,5184807.0,1.4
126,2010.0,구로구,9595985.0,3.3
127,2011.0,구로구,9868528.0,3.2
128,2012.0,구로구,10398295.0,3.3
129,2013.0,구로구,10885864.0,3.4
130,2014.0,구로구,10757499.0,3.3
131,2015.0,구로구,11163275.0,3.2
132,2016.0,구로구,11964909.0,3.3
133,2010.0,서대문구,5516655.0,1.9
134,2011.0,서대문구,6146206.0,2.0
135,2012.0,서대문구,6832503.0,2.2
136,2013.0,서대문구,6894785.0,2.2
137,2014.0,서대문구,6860590.0,2.1
138,2015.0,서대문구,7227343.0,2.1
139,2016.0,서대문구,7452206.0,2.1
140,2010.0,성북구,4337944.0,1.5
141,2011.0,성북구,4520079.0,1.5
142,2012.0,성북구,4630451.0,1.5
143,2013.0,성북구,4882574.0,1.5
144,2014.0,성북구,4800257.0,1.5
145,2015.0,성북구,4938574.0,1.4
146,2016.0,성북구,5217211.0,1.5
147,2010.0,송파구,16929564.0,5.8
148,2011.0,송파구,18195240.0,6.0
149,2012.0,송파구,18617139.0,5.9
150,2013.0,송파구,18673676.0,5.9
151,2014.0,송파구,19757679.0,6.0
152,2015.0,송파구,20858285.0,6.1
153,2016.0,송파구,22002209.0,6.1
154,2010.0,강남구,46009396.0,15.9
155,2011.0,강남구,47455108.0,15.6
156,2012.0,강남구,49352022.0,15.7
157,2013.0,강남구,51171858.0,16.1
158,2014.0,강남구,54642788.0,16.6
159,2015.0,강남구,57968609.0,16.8
160,2016.0,강남구,59981514.0,16.7
161,2010.0,관악구,4470763.0,1.5
162,2011.0,관악구,4664688.0,1.5
163,2012.0,관악구,4776156.0,1.5
164,2013.0,관악구,4969358.0,1.6
165,2014.0,관악구,5156563.0,1.6
166,2015.0,관악구,5196230.0,1.5
167,2016.0,관악구,5358231.0,1.5
168,2010.0,동대문구,5665921.0,2.0
169,2011.0,동대문구,5858475.0,1.9
170,2012.0,동대문구,6301762.0,2.0
171,2013.0,동대문구,6521711.0,2.0
172,2014.0,동대문구,6610646.0,2.0
173,2015.0,동대문구,6688724.0,1.9
174,2016.0,동대문구,7180082.0,2.0
